"value","freq"
0,900
23,1
24,1
25,1
27,1
28,4
29,3
30,1
31,3
32,4
33,6
34,3
35,5
36,14
37,7
38,9
39,8
40,14
41,3
42,4
43,6
44,3
45,5
46,3
47,5
48,5
49,5
50,6
51,8
52,6
53,11
54,13
55,12
56,21
57,13
58,9
59,21
60,32
61,29
62,45
63,35
64,66
65,1518
